N epoch,device,progress,patience,epochs,verbose,geometric_dim,encoder_hidden_dim,encoder_depth,dropout,batch_norm,dense_activation,gnn_activation,gnn_depth,dense_depth,dense_dim,gnn_hidden_dim,model_seed,total_params,reduction,total_samples,use_folds,train_samples,train_folds,valid_samples,valid_folds,test_samples,test_folds,optimizer,lr,scheduler,scheduler_gamma,scheduler_step,loss_fn,pos_weight,loss_reduction,train_batch_size,train_shuffle,train_num_workers,valid_batch_size,valid_shuffle,valid_num_workers,test_batch_size,test_shuffle,test_num_workers,train_cumulated_loss,train_mean_loss,cumulated_loss,mean_loss,average_precision,roc_auc,tp,fp,fn,tn,f1,accuracy,balanced_accuracy,recall,precision,jaccard,At epoch
1,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,3,16,16,1234,5010,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,2048,False,0,64,False,0,64,False,0,131.11098,1.065942883491516,932.265,1.0993692,0.1167689377410345,0.6515311195089225,2805,22780,1228,27426,0.1894118441488284,0.557366470620771,0.6208906979910263,0.6955120257872551,0.1096345514950166,0.1046134337821206,
2,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,3,16,16,1234,5010,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,2048,False,0,64,False,0,64,False,0,128.26808,1.042829990386963,928.7753,1.095254,0.1160534734309793,0.6507452301723939,2307,17949,1726,32257,0.189962534480629,0.6372536366820922,0.6072618377373247,0.5720307463426729,0.1138921800947867,0.1049495041397507,
3,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,3,16,16,1234,5010,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,2048,False,0,64,False,0,64,False,0,128.07582,1.0412667989730835,925.78,1.0917218,0.1161967920584335,0.6509705157325585,1937,14780,2096,35426,0.1866987951807228,0.6888585704013717,0.5929502510159013,0.4802876270766179,0.1158700723814081,0.1029607186519959,
4,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,3,16,16,1234,5010,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,2048,False,0,64,False,0,64,False,0,127.74915,1.0386110544204712,934.6516,1.1021835,0.1169644030732754,0.651169939581135,2157,16762,1876,33444,0.1879574764726385,0.6563727207360017,0.6004865557671301,0.5348375898834614,0.1140123685184206,0.1037268574176484,
5,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,3,16,16,1234,5010,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,2048,False,0,64,False,0,64,False,0,127.497215,1.03656268119812,929.06793,1.0955989,0.1169569531898906,0.6510024323392878,2067,15999,1966,34207,0.1870672881125842,0.668780766607054,0.5969273022126276,0.5125216960079345,0.1144138160079707,0.1031849041533546,
6,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,3,16,16,1234,5010,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,2048,False,0,64,False,0,64,False,0,127.3857,1.0356560945510864,927.8535,1.0941669,0.1170186645285633,0.6509301662274168,2100,16201,1933,34005,0.1880540879376735,0.6656649274507274,0.599006837675541,0.5207041904289611,0.1147478279875416,0.1037857072254621,
7,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,3,16,16,1234,5010,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,2048,False,0,64,False,0,64,False,0,127.34701,1.035341501235962,928.1396,1.0945042,0.1171399269627726,0.6510754713639562,2067,15999,1966,34207,0.1870672881125842,0.668780766607054,0.5969273022126276,0.5125216960079345,0.1144138160079707,0.1031849041533546,
8,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,3,16,16,1234,5010,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,2048,False,0,64,False,0,64,False,0,127.26949,1.0347113609313965,928.83795,1.0953277,0.117120757590503,0.6510654407831797,2067,15999,1966,34207,0.1870672881125842,0.668780766607054,0.5969273022126276,0.5125216960079345,0.1144138160079707,0.1031849041533546,
-1,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,3,16,16,1234,5010,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,2048,False,0,64,False,0,64,False,0,,,1026.9434,1.0764606,0.1171615534273966,0.6473585812698399,590,3869,3731,52854,0.1343963553530751,0.87549963960422,0.5341669019345049,0.1365424670215227,0.1323166629289078,0.072039072039072,3.0
