N epoch,device,progress,patience,epochs,verbose,geometric_dim,encoder_hidden_dim,encoder_depth,dropout,batch_norm,dense_activation,gnn_activation,gnn_depth,dense_depth,dense_dim,gnn_hidden_dim,model_seed,total_params,reduction,total_samples,use_folds,train_samples,train_folds,valid_samples,valid_folds,test_samples,test_folds,optimizer,lr,scheduler,scheduler_gamma,scheduler_step,loss_fn,pos_weight,loss_reduction,train_batch_size,train_shuffle,train_num_workers,valid_batch_size,valid_shuffle,valid_num_workers,test_batch_size,test_shuffle,test_num_workers,train_cumulated_loss,train_mean_loss,cumulated_loss,mean_loss,average_precision,roc_auc,tp,fp,fn,tn,f1,accuracy,balanced_accuracy,recall,precision,jaccard,At epoch
1,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,3,16,256,1234,282562,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,977.0048,1.0000048875808716,219.4959,1.035358,0.2004884881485223,0.7314219494532019,2825,18131,1208,32075,0.22609948377286,0.6434484411585759,0.6696694888569137,0.70047111331515,0.1348062607367818,0.1274589424291644,
2,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,3,16,256,1234,282562,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,857.3993,0.8775837421417236,199.86493,0.9427591,0.2560278824240871,0.7782441696026898,2775,14074,1258,36132,0.2657791399291255,0.7173251719242612,0.7038741668728508,0.6880733944954128,0.1646982016736898,0.1532556469873529,
3,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,3,16,256,1234,282562,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,834.51294,0.8541585803031921,201.68344,0.951337,0.2602447611381475,0.772547641776876,2435,10460,1598,39746,0.2876890359168242,0.7776876417338078,0.6977136370234969,0.6037689065212001,0.188832880961613,0.1680121437935555,
4,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,3,16,256,1234,282562,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,826.17096,0.8456202149391174,201.48112,0.95038265,0.2631479331915776,0.7720968138420711,2655,12593,1378,37613,0.2754006534930761,0.7424178174376371,0.7037461374485496,0.6583188693280436,0.1741211962224554,0.1596896427282569,
5,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,3,16,256,1234,282562,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,816.80963,0.8360385298728943,197.19661,0.9301727,0.2888785527256555,0.7852663935075959,2891,15382,1142,34824,0.2592127678651484,0.6953483655672118,0.7052291891895843,0.7168361021572031,0.1582115689815575,0.1489054854493948,
6,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,3,16,256,1234,282562,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,812.3511,0.831475019454956,196.90346,0.9287899,0.2753691002008098,0.7853491198706161,2505,10584,1528,39622,0.2926060039714986,0.77669204815723,0.7051571280354199,0.6211257128688321,0.1913820765528306,0.1713757953068345,
7,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,3,16,256,1234,282562,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,803.9595,0.8228858709335327,196.92375,0.92888564,0.2840829091728739,0.7834169687537481,2596,11262,1437,38944,0.2902017774299927,0.7658695772414683,0.7096868711471593,0.6436895611207538,0.1873286188483186,0.1697286694998365,
8,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,3,16,256,1234,282562,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,802.3582,0.8212469220161438,194.3611,0.91679764,0.3007935405139249,0.7917572410989807,2680,12182,1353,38024,0.2836729293463879,0.7504563137225981,0.7109387034320163,0.6645177287379123,0.1803256627640963,0.1652790625963613,
9,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,3,16,256,1234,282562,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,798.3543,0.817148745059967,194.76408,0.9186985,0.3045284467358291,0.7905030727901419,2609,11158,1424,39048,0.2931460674157303,0.7680266966573868,0.7123343073746677,0.6469129680138854,0.1895111498510931,0.1717464288065301,
10,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,3,16,256,1234,282562,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,794.49805,0.8132016658782959,194.31058,0.91655934,0.3019293497287958,0.792374027980668,2574,10544,1459,39662,0.3001574252230191,0.7787016722284703,0.7141099127829396,0.6382345648400695,0.1962189358133861,0.1765795431158674,
11,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,3,16,256,1234,282562,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,793.5619,0.8122434616088867,193.07465,0.91072947,0.3059907162657377,0.7955907231262492,2660,12150,1373,38056,0.282332961842594,0.7506775567396154,0.7087778466775896,0.6595586412100174,0.1796083727211343,0.1643700179200395,
12,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,3,16,256,1234,282562,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,793.5287,0.8122094869613647,193.8229,0.914259,0.3079574335633829,0.796163666344302,2564,10594,1469,39612,0.2982956198010587,0.777595457143384,0.7123721924485896,0.635755021076122,0.1948624411004711,0.1752922677240719,
13,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,3,16,256,1234,282562,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,791.9192,0.8105621337890625,192.73738,0.90913856,0.3047039863826925,0.798442433044935,2572,10312,1461,39894,0.3040728261512088,0.7829421633879681,0.7161724392255704,0.63773865608728,0.1996274448928904,0.1792959219240153,
