N epoch,device,progress,patience,epochs,verbose,geometric_dim,encoder_hidden_dim,encoder_depth,dropout,batch_norm,dense_activation,gnn_activation,gnn_depth,dense_depth,dense_dim,gnn_hidden_dim,model_seed,total_params,reduction,total_samples,use_folds,train_samples,train_folds,valid_samples,valid_folds,test_samples,test_folds,optimizer,lr,scheduler,scheduler_gamma,scheduler_step,loss_fn,pos_weight,loss_reduction,train_batch_size,train_shuffle,train_num_workers,valid_batch_size,valid_shuffle,valid_num_workers,test_batch_size,test_shuffle,test_num_workers,train_cumulated_loss,train_mean_loss,cumulated_loss,mean_loss,average_precision,roc_auc,tp,fp,fn,tn,f1,accuracy,balanced_accuracy,recall,precision,jaccard,At epoch
1,cuda,True,5,25,1,5,16,1,0.2,True,relu,relu,1,1,256,256,1234,353474,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,983.9626,1.0071264505386353,844.1765,0.99549115,0.1880275616089887,0.747698737339034,2547,13009,1486,37197,0.2600439021900046,0.7327568723612161,0.6862136699994634,0.6315397966774113,0.1637310362561069,0.1494542894026522,
2,cuda,True,5,25,1,5,16,1,0.2,True,relu,relu,1,1,256,256,1234,353474,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,917.7935,0.9393997192382812,928.3116,1.094707,0.1947519520096786,0.7496870863774451,1692,5561,2341,44645,0.2998405103668261,0.8543114732941242,0.6543875755566708,0.4195388048599058,0.2332827795395008,0.1763602251407129,
3,cuda,True,5,25,1,5,16,1,0.2,True,relu,relu,1,1,256,256,1234,353474,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,899.30725,0.9204782247543336,845.6198,0.99719316,0.2170663951082399,0.7625084577155805,2882,16819,1151,33387,0.2428583466756551,0.6686885820166301,0.6898023559745157,0.7146045127696504,0.146286990508096,0.1382121619029349,
4,cuda,True,5,25,1,5,16,1,0.2,True,relu,relu,1,1,256,256,1234,353474,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,889.9346,0.9108849167823792,855.6155,1.0089805,0.1979181173811014,0.7534080441543894,2786,15943,1247,34263,0.244793954837009,0.683069378122753,0.6866246027931993,0.6908008926357551,0.1487532703294356,0.1394673608329996,
5,cuda,True,5,25,1,5,16,1,0.2,True,relu,relu,1,1,256,256,1234,353474,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,883.51086,0.9043099880218506,966.8823,1.1401914,0.1606845502958563,0.7242838306079771,3229,25172,804,25034,0.1991120429179256,0.5210826158299379,0.6496351718250339,0.8006446813786263,0.113693179817612,0.1105632597158021,
6,cuda,True,5,25,1,5,16,1,0.2,True,relu,relu,1,1,256,256,1234,353474,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,879.58936,0.900296151638031,1020.34247,1.2032341,0.1461458077121795,0.7057443368037299,3407,29809,626,20397,0.1829310853982657,0.4388723980899353,0.6255233718507964,0.8447805603768906,0.1025710500963391,0.1006737190473376,
7,cuda,True,5,25,1,5,16,1,0.2,True,relu,relu,1,1,256,256,1234,353474,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,873.27936,0.8938376307487488,1120.5496,1.3214028,0.124348234367475,0.6803771980392926,3504,33143,529,17063,0.1722713864306784,0.3791920942495252,0.6043459563014959,0.8688321348871808,0.0956149207302098,0.0942543576500968,
-1,cuda,True,5,25,1,5,16,1,0.2,True,relu,relu,1,1,256,256,1234,353474,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,,,969.74084,1.0164999,0.2599137069811094,0.7805512146644192,2115,6094,2206,50629,0.3375897845171588,0.8640325011467138,0.6910178280110987,0.4894700300856283,0.257644049214277,0.2030724915986557,2.0
