N epoch,device,progress,patience,epochs,verbose,geometric_dim,encoder_hidden_dim,encoder_depth,dropout,batch_norm,dense_activation,gnn_activation,gnn_depth,dense_depth,dense_dim,gnn_hidden_dim,model_seed,total_params,reduction,total_samples,use_folds,train_samples,train_folds,valid_samples,valid_folds,test_samples,test_folds,optimizer,lr,scheduler,scheduler_gamma,scheduler_step,loss_fn,pos_weight,loss_reduction,train_batch_size,train_shuffle,train_num_workers,valid_batch_size,valid_shuffle,valid_num_workers,test_batch_size,test_shuffle,test_num_workers,train_cumulated_loss,train_mean_loss,cumulated_loss,mean_loss,average_precision,roc_auc,tp,fp,fn,tn,f1,accuracy,balanced_accuracy,recall,precision,jaccard,At epoch
1,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,3,256,16,1234,154740,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,899.5743,0.9207515716552734,205.7821,0.9706703,0.1878734194780759,0.7605665229549322,2730,15190,1303,35016,0.2487131599325832,0.6959199100278397,0.6871809839469321,0.6769154475576494,0.15234375,0.1420173750195078,
2,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,3,256,16,1234,154740,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,824.3213,0.8437269926071167,217.46909,1.0257976,0.1822859696370237,0.7655291318043896,3100,19359,933,30847,0.2340329155971614,0.6258780582237873,0.6915336016208313,0.7686585668237045,0.1380292978316042,0.1325239398084815,
3,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,3,256,16,1234,154740,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,803.8609,0.822784960269928,195.56999,0.92249995,0.2287689975954697,0.7870816718136403,2560,11353,1473,38853,0.2853003454808871,0.7635280886447021,0.7043174261887293,0.634763203570543,0.1840005750017968,0.1663850253477187,
4,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,3,256,16,1234,154740,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,791.47546,0.810107946395874,196.50986,0.9269333,0.2627622180745133,0.7910912915307653,2269,7538,1764,42668,0.3278901734104046,0.828499787975442,0.7062335313395989,0.5626084800396727,0.2313653512796981,0.1960936824820672,
5,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,3,256,16,1234,154740,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,779.06445,0.7974047660827637,193.5015,0.9127429,0.2836191441226622,0.7971926799695841,2906,14015,1127,36191,0.2773694759950367,0.720828186360368,0.7207027577005105,0.7205554178031243,0.1717392589090479,0.1610150709219858,
6,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,3,256,16,1234,154740,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,772.65283,0.7908421754837036,189.3415,0.8931203,0.2876002475770672,0.8026949844399567,2753,11586,1280,38620,0.2996951883300675,0.7627906119213113,0.7259245837227488,0.6826183982147285,0.191993862891415,0.1762596837185479,
7,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,3,256,16,1234,154740,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,765.7572,0.7837842106819153,187.85405,0.886104,0.2831878655359909,0.8082503951806828,2626,9320,1407,40886,0.3286813943300582,0.8022271797046405,0.7327465046833725,0.6511281924125961,0.2198225347396618,0.1966599266082528,
8,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,3,256,16,1234,154740,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,759.2184,0.7770915031433105,185.52513,0.87511855,0.2893235739674994,0.8149985190200604,2740,10344,1293,39862,0.3201495589180347,0.7854495842474972,0.7366819198332081,0.6793949913215969,0.2094160807092632,0.1905821798706267,
9,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,3,256,16,1234,154740,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,754.0844,0.7718366384506226,186.67255,0.8805309,0.3040006637960527,0.8141856962653813,2869,12707,1164,37499,0.2926207353766127,0.7442615092461144,0.7291419332513693,0.7113811058765187,0.1841936312275295,0.1713859020310633,
10,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,3,256,16,1234,154740,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,750.19794,0.7678586840629578,185.25775,0.8738573,0.2916081230550758,0.8150164219522683,2732,9956,1301,40250,0.326774714430955,0.7924556131197109,0.7395541823180685,0.6774113563104389,0.2153215636822194,0.1952963042390449,
