N epoch,device,progress,patience,epochs,verbose,geometric_dim,encoder_hidden_dim,encoder_depth,dropout,batch_norm,dense_activation,gnn_activation,gnn_depth,dense_depth,dense_dim,gnn_hidden_dim,model_seed,total_params,reduction,total_samples,use_folds,train_samples,train_folds,valid_samples,valid_folds,test_samples,test_folds,optimizer,lr,scheduler,scheduler_gamma,scheduler_step,loss_fn,pos_weight,loss_reduction,train_batch_size,train_shuffle,train_num_workers,valid_batch_size,valid_shuffle,valid_num_workers,test_batch_size,test_shuffle,test_num_workers,train_cumulated_loss,train_mean_loss,cumulated_loss,mean_loss,average_precision,roc_auc,tp,fp,fn,tn,f1,accuracy,balanced_accuracy,recall,precision,jaccard,At epoch
1,cuda,True,5,25,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,False,0,64,False,0,64,False,0,260.2323,1.0621726512908936,952.56464,1.1233073,0.1176198867771889,0.6513416225275841,3062,25315,971,24891,0.18895402653502,0.5153671712236583,0.627506848822277,0.7592363005207042,0.107904288684498,0.1043341965380945,
2,cuda,True,5,25,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,False,0,64,False,0,64,False,0,257.4685,1.0508918762207031,998.60236,1.1775972,0.1072045900792638,0.5987755959950336,3482,40942,551,9264,0.1437150463297356,0.234996957908516,0.5239484585595124,0.8633771386064965,0.0783810552854313,0.0774207893274041,
3,cuda,True,5,25,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,False,0,64,False,0,64,False,0,255.98438,1.0448341369628906,986.3904,1.1631962,0.1083709219759799,0.6041390181601318,3242,34234,791,15972,0.1562070876195523,0.3542469440808274,0.5609986977629355,0.803868088271758,0.0865086989006297,0.0847205163718086,
4,cuda,True,5,25,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,False,0,64,False,0,64,False,0,254.79564,1.0399821996688845,960.06976,1.1321577,0.113097834121913,0.6299640694817885,2933,26067,1100,24139,0.1775799957618139,0.4991242463909733,0.6040246468210778,0.7272501859657823,0.1011379310344827,0.0974418604651162,
5,cuda,True,5,25,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,False,0,64,False,0,64,False,0,254.02594,1.036840558052063,976.1388,1.1511071,0.108380001515482,0.6058006325123235,3013,29018,1020,21188,0.1670918367346938,0.4461918545695901,0.5845539042176237,0.7470865360773618,0.0940651244107271,0.0911621433542101,
6,cuda,True,5,25,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,False,0,64,False,0,64,False,0,253.77997,1.0358365774154663,973.6102,1.1481253,0.1128112570777786,0.6186994383536556,2956,28107,1077,22099,0.1684522452701162,0.4619369826139862,0.586559825292668,0.7329531366228614,0.095161446093423,0.0919726197884256,
-1,cuda,True,5,25,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,False,0,64,False,0,64,False,0,,,1041.5605,1.0917826,0.1181340997697609,0.6489813367382662,2691,23287,1630,33436,0.1776296247400904,0.5918190157918878,0.6061167857703256,0.6227725063642675,0.1035876510893833,0.0974717473196175,1.0
