N epoch,device,progress,patience,epochs,verbose,geometric_dim,encoder_hidden_dim,encoder_depth,dropout,batch_norm,dense_activation,gnn_activation,gnn_depth,dense_depth,dense_dim,gnn_hidden_dim,model_seed,total_params,reduction,total_samples,use_folds,train_samples,train_folds,valid_samples,valid_folds,test_samples,test_folds,optimizer,lr,scheduler,scheduler_gamma,scheduler_step,loss_fn,pos_weight,loss_reduction,train_batch_size,train_shuffle,train_num_workers,valid_batch_size,valid_shuffle,valid_num_workers,test_batch_size,test_shuffle,test_num_workers,train_cumulated_loss,train_mean_loss,cumulated_loss,mean_loss,average_precision,roc_auc,tp,fp,fn,tn,f1,accuracy,balanced_accuracy,recall,precision,jaccard,At epoch
11,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,197.96689,0.8080281019210815,49.144867,0.92726165,0.2888801933845292,0.7869025140843232,2628,11787,1405,38419,0.2849089332176929,0.7567801766256752,0.708425682419525,0.6516241011653856,0.1823100936524453,0.166118836915297,
12,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,197.87215,0.8076413869857788,49.13819,0.9271357,0.2864185227909224,0.7875815908232443,2789,13909,1244,36297,0.2690656504751338,0.7206253802614355,0.7072530774004555,0.6915447557649392,0.167025991136663,0.1554453238212016,
13,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,197.23949,0.8050591349601746,49.15276,0.92741054,0.2877984120655626,0.7867949014108488,2730,13282,1303,36924,0.2723871289598403,0.7310975497335865,0.7061826968896083,0.6769154475576494,0.170497127154634,0.1576667629223216,
14,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,197.92857,0.8078716993331909,49.113106,0.9266624,0.289355557113498,0.7885494628483241,2830,14474,1203,35732,0.2652669072503164,0.7109644351850145,0.7067093246046966,0.7017108851971238,0.1635460009246417,0.1529151132004106,
15,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,197.0899,0.8044486045837402,49.109894,0.92660177,0.2896259882726286,0.7876889540903528,2758,13486,1275,36720,0.2720323519258273,0.7278526521506665,0.7076224284734398,0.6838581700967022,0.1697857670524501,0.157429077002112,
16,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,197.53421,0.8062620759010315,49.095337,0.9263271,0.2890044890156547,0.7879876293257202,2765,13526,1268,36680,0.2720921078527848,0.7272442338538689,0.7080919100289204,0.6855938507314654,0.1697256153704499,0.1574691041631072,
17,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,197.36816,0.8055843710899353,49.045166,0.92538047,0.2888891039842602,0.7880693136146174,2732,13093,1301,37113,0.2751535904924967,0.7346190010877781,0.708312896415985,0.6774113563104389,0.1726382306477093,0.1595235314726147,
18,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,197.46725,0.8059887886047363,49.038143,0.92524797,0.2903062732307133,0.7883632797614716,2746,13327,1287,36879,0.2731522928479061,0.7305628791091281,0.7077181782936277,0.6808827175799653,0.1708455173271946,0.1581797235023041,
19,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,196.73268,0.8029905557632446,49.10696,0.9265464,0.288884759964944,0.7882041041738683,2802,13954,1231,36252,0.2695656356727115,0.7200353988827227,0.7084166272398829,0.694768162658071,0.1672236810694676,0.1557791738477789,
20,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,196.79929,0.8032624125480652,49.052013,0.9255097,0.2875149220905776,0.7881206641629297,2749,13253,1284,36953,0.2744197654105316,0.7319825218016557,0.7088270735677364,0.6816265807091495,0.1717910261217347,0.1590304292491033,
21,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,196.70924,0.8028948903083801,49.06395,0.9257349,0.2892543767300424,0.7883895760821725,2786,13683,1247,36523,0.2717783630865281,0.7247368129943399,0.709131872840604,0.6908008926357551,0.1691663124658449,0.1572589749379092,
22,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,197.31912,0.8053841590881348,49.049847,0.9254688,0.2886977582323674,0.7883238266376251,2745,13300,1288,36906,0.2734336089251917,0.7310422389793322,0.7078630932697134,0.6806347632035705,0.1710813337488314,0.1583684301621185,
-1,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,1,1,256,16,1234,17714,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,1024,True,0,1024,True,0,1024,True,0,,,51.21664,0.8536107,0.3127434681088246,0.8144627535683047,2926,11258,1395,45465,0.3162388543636855,0.792723281567394,0.7393423914099613,0.6771580652626706,0.2062887760857304,0.1878169330509018,17.0
