N epoch,device,progress,patience,epochs,verbose,geometric_dim,encoder_hidden_dim,encoder_depth,dropout,batch_norm,dense_activation,gnn_activation,gnn_depth,dense_depth,dense_dim,gnn_hidden_dim,model_seed,total_params,reduction,total_samples,use_folds,train_samples,train_folds,valid_samples,valid_folds,test_samples,test_folds,optimizer,lr,scheduler,scheduler_gamma,scheduler_step,loss_fn,pos_weight,loss_reduction,train_batch_size,train_shuffle,train_num_workers,valid_batch_size,valid_shuffle,valid_num_workers,test_batch_size,test_shuffle,test_num_workers,train_cumulated_loss,train_mean_loss,cumulated_loss,mean_loss,average_precision,roc_auc,tp,fp,fn,tn,f1,accuracy,balanced_accuracy,recall,precision,jaccard,At epoch
1,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,1,256,256,1234,354082,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,998.3192,1.021821141242981,1041.8883,1.2286419,0.1561649761709841,0.6995688672661197,3494,32692,539,17514,0.1737487257266466,0.3873227751249101,0.6075976794599556,0.8663525911232334,0.0965566793787652,0.0951395507147719,
2,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,1,256,256,1234,354082,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,926.2208,0.948025405406952,896.8821,1.057644,0.192737132979799,0.7475677743032205,3009,19110,1024,31096,0.2301162434995411,0.6287910912811815,0.682731460787704,0.7460947185717828,0.1360368913603689,0.130017715940025,
3,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,1,256,256,1234,354082,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,912.9165,0.9344078898429872,889.1681,1.0485473,0.2111309272776564,0.7636390883840749,3397,25142,636,25064,0.2085840599287731,0.5247331256107229,0.6707621085136182,0.8423010166129432,0.1190300991625494,0.1164353041988003,
4,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,1,256,256,1234,354082,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,904.2324,0.9255193471908568,910.1992,1.0733482,0.2186640813105324,0.7660617428028904,3494,26794,539,23412,0.2036071210046327,0.496063717988901,0.6663356789022532,0.8663525911232334,0.1153592181722134,0.1133422000194634,
5,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,1,256,256,1234,354082,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,896.15204,0.917248785495758,957.10626,1.1286631,0.1758902404572948,0.7452143560793354,3564,29800,469,20406,0.1906035243468727,0.4419329264920076,0.6450774211192115,0.8837093974708654,0.1068217240139072,0.1053409393195992,
6,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,1,256,256,1234,354082,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,893.46716,0.914500653743744,1087.6182,1.2825686,0.1585188206952922,0.7214169933289181,3781,37239,252,12967,0.1678467582624908,0.3087815040837773,0.5978957002135086,0.9375154971485248,0.0921745490004875,0.0916117464624927,
7,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,1,256,256,1234,354082,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,886.6413,0.9075140953063964,1097.2374,1.293912,0.1397276473827349,0.7027244208114984,3702,36301,331,13905,0.1681351621400672,0.3246188167185973,0.597443015312494,0.91792710141334,0.0925430592705547,0.0917836068825308,
8,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,1,256,256,1234,354082,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,883.6952,0.9044986367225648,1195.8788,1.4102345,0.1193399385661496,0.6779930904855482,3710,37828,323,12378,0.162822847863773,0.2966131381478272,0.5832274870825035,0.919910736424498,0.0893158072126727,0.0886266453261986,
-1,cuda,True,5,25,1,5,16,3,0.2,True,relu,relu,1,1,256,256,1234,354082,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,False,0,64,False,0,64,False,0,,,940.8637,0.9862303,0.2659971646884446,0.7850587855574084,3553,24014,768,32709,0.222842448569995,0.5940305353515497,0.6994538798258996,0.8222633649618144,0.1288859868683571,0.1253926239632962,3.0
