N epoch,device,progress,patience,epochs,verbose,geometric_dim,encoder_hidden_dim,encoder_depth,dropout,batch_norm,dense_activation,gnn_activation,gnn_depth,dense_depth,dense_dim,gnn_hidden_dim,model_seed,total_params,reduction,total_samples,use_folds,train_samples,train_folds,valid_samples,valid_folds,test_samples,test_folds,optimizer,lr,scheduler,scheduler_gamma,scheduler_step,loss_fn,pos_weight,loss_reduction,train_batch_size,train_shuffle,train_num_workers,valid_batch_size,valid_shuffle,valid_num_workers,test_batch_size,test_shuffle,test_num_workers,train_cumulated_loss,train_mean_loss,cumulated_loss,mean_loss,average_precision,roc_auc,tp,fp,fn,tn,f1,accuracy,balanced_accuracy,recall,precision,jaccard,At epoch
1,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,3,1,256,256,1234,1274564,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3909.9768,1.0012744665145874,988.8833,1.166136,0.0743560906358893,0.5,4033,50206,0,0,0.1384198242723778,0.0743560906358893,0.5,1.0,0.0743560906358893,0.0743560906358893,
2,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,3,1,256,256,1234,1274564,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3760.3223,0.9629506468772888,986.95856,1.1638663,0.0743560906358893,0.5,4033,50206,0,0,0.1384198242723778,0.0743560906358893,0.5,1.0,0.0743560906358893,0.0743560906358893,
3,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,3,1,256,256,1234,1274564,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3665.6602,0.9387093782424928,980.02563,1.1556906,0.0743560906358893,0.5,0,0,4033,50206,0.0,0.9256439093641108,0.5,0.0,0.0,0.0,
4,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,3,1,256,256,1234,1274564,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3537.867,0.905983865261078,976.1868,1.1511637,0.0743560906358893,0.5,0,0,4033,50206,0.0,0.9256439093641108,0.5,0.0,0.0,0.0,
5,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,3,1,256,256,1234,1274564,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3450.5786,0.8836308717727661,973.6859,1.1482146,0.0743560906358893,0.5,0,0,4033,50206,0.0,0.9256439093641108,0.5,0.0,0.0,0.0,
6,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,3,1,256,256,1234,1274564,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3378.7134,0.8652275204658508,972.95215,1.1473492,0.0743560906358893,0.5,0,0,4033,50206,0.0,0.9256439093641108,0.5,0.0,0.0,0.0,
7,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,3,1,256,256,1234,1274564,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3318.389,0.849779486656189,973.1733,1.14761,0.0743560906358893,0.5,0,0,4033,50206,0.0,0.9256439093641108,0.5,0.0,0.0,0.0,
8,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,3,1,256,256,1234,1274564,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3283.0796,0.8407374024391174,973.161,1.1475955,0.0743560906358893,0.5,0,0,4033,50206,0.0,0.9256439093641108,0.5,0.0,0.0,0.0,
9,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,3,1,256,256,1234,1274564,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3247.1292,0.8315311670303345,972.94366,1.1473392,0.0743560906358893,0.5,0,0,4033,50206,0.0,0.9256439093641108,0.5,0.0,0.0,0.0,
10,cuda,False,5,31,1,5,16,1,0.2,True,relu,relu,3,1,256,256,1234,1274564,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3208.3992,0.8216131329536438,972.84467,1.1472225,0.0743560906358893,0.5,0,0,4033,50206,0.0,0.9256439093641108,0.5,0.0,0.0,0.0,
