N epoch,device,progress,patience,epochs,verbose,geometric_dim,encoder_hidden_dim,encoder_depth,dropout,batch_norm,dense_activation,gnn_activation,gnn_depth,dense_depth,dense_dim,gnn_hidden_dim,model_seed,total_params,reduction,total_samples,use_folds,train_samples,train_folds,valid_samples,valid_folds,test_samples,test_folds,optimizer,lr,scheduler,scheduler_gamma,scheduler_step,loss_fn,pos_weight,loss_reduction,train_batch_size,train_shuffle,train_num_workers,valid_batch_size,valid_shuffle,valid_num_workers,test_batch_size,test_shuffle,test_num_workers,train_cumulated_loss,train_mean_loss,cumulated_loss,mean_loss,average_precision,roc_auc,tp,fp,fn,tn,f1,accuracy,balanced_accuracy,recall,precision,jaccard,At epoch
1,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,1,16,256,1234,1203652,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3903.087,0.9995101094245912,931.7146,1.0987201,0.1397447152656109,0.7140758898036346,2374,14007,1659,36199,0.2325854805525619,0.7111672412839469,0.654826565331889,0.5886436895611208,0.1449239973139613,0.1315964523281596,
2,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,1,16,256,1234,1203652,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3773.881,0.9664227962493896,985.7316,1.1624193,0.1540032540002033,0.71006563545843,4033,50206,0,0,0.1384198242723778,0.0743560906358893,0.5,1.0,0.0743560906358893,0.0743560906358893,
3,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,1,16,256,1234,1203652,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3701.8628,0.9479802250862122,982.7805,1.1589392,0.1428902346748478,0.7136622728047525,4033,50206,0,0,0.1384198242723778,0.0743560906358893,0.5,1.0,0.0743560906358893,0.0743560906358893,
4,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,1,16,256,1234,1203652,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3624.404,0.9281444549560548,981.7867,1.1577673,0.0743560906358893,0.5,4033,50206,0,0,0.1384198242723778,0.0743560906358893,0.5,1.0,0.0743560906358893,0.0743560906358893,
5,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,1,16,256,1234,1203652,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3547.514,0.9084542393684388,981.5312,1.157466,0.0743560906358893,0.5,4033,50206,0,0,0.1384198242723778,0.0743560906358893,0.5,1.0,0.0743560906358893,0.0743560906358893,
6,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,1,16,256,1234,1203652,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,3503.3757,0.8971512913703918,977.6514,1.1528908,0.0743560906358893,0.5,0,0,4033,50206,0.0,0.9256439093641108,0.5,0.0,0.0,0.0,
-1,cuda,False,5,31,1,5,16,3,0.2,True,relu,relu,3,1,16,256,1234,1203652,1,365193,"[101, 102, 103]",249910,[101],54239,[102],61044,[103],<class 'torch.optim.adam.Adam'>,0.001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,64,True,0,64,True,0,64,True,0,,,1022.2626,1.0715541,0.1475112132264011,0.7292419501139051,2804,17310,1517,39413,0.2295068549212195,0.6915831203721905,0.6718783220485487,0.6489238602175422,0.1394053892810977,0.1296287735194859,1.0
