reign,n_res,n,f1_mean,auc_mean,ap_mean,acc_mean,bacc_mean,prec_mean,rec_mean,jac_mean,f1_std,auc_std,ap_std,acc_std,bacc_std,prec_std,rec_std,jac_std
Eukaryota,2098457.0,4560.0,0.46487909075357303,0.8919114620611056,0.5497331805192973,0.846252638621486,0.7993646157347983,0.34882340498272424,0.7516973149344576,0.3203781358619596,0.18051693900602334,0.09335709291147404,0.27038185934694,0.08368978107932305,0.11725126866251354,0.1548052905810683,0.24647292831655657,0.15062776747369275
Bacteria,1057049.0,1845.0,0.39525342905852684,0.8650765622258543,0.43039916928796756,0.8276883012042806,0.7609798288648494,0.28987517674631413,0.6927898797590235,0.2608523931286806,0.17231826770862654,0.09038550454050831,0.24348025351423985,0.08837312742952878,0.10936348820413391,0.14748311244546308,0.2531898594083342,0.1368107044351423
-,412952.0,793.0,0.31468341920569365,0.8463595504913723,0.3659566303841109,0.817357001179225,0.7417048695079624,0.21676406297743073,0.6648109074170466,0.19808040398824048,0.16297553213664517,0.12143614778789652,0.24246643232518394,0.11656089227140261,0.13367098739129402,0.12763068942323819,0.28892226643668784,0.11846004667041818
Archaea,108714.0,173.0,0.39090154722269155,0.8600115844129745,0.40977706191971214,0.8387755324857424,0.7488434704570284,0.2943806599684045,0.6512990855971672,0.25759357124389576,0.17396351226136206,0.08087893198009669,0.23875255823198327,0.07307264939609537,0.1046678119386181,0.15453734738875802,0.24419655683196073,0.13759527114025397
Viruses,253566.0,587.0,0.5712994054807787,0.875725557715577,0.6593674157015575,0.8779709241458176,0.8189862273964831,0.47635881501031735,0.7599885529656863,0.46063810077733297,0.3046103641686542,0.1959144146448556,0.35664230213853493,0.10370742846936125,0.18993826392897845,0.2856888401020973,0.3353099409411075,0.28937159837093623
