ec,n_res,n,f1_mean,auc_mean,ap_mean,acc_mean,bacc_mean,prec_mean,rec_mean,jac_mean,f1_std,auc_std,ap_std,acc_std,bacc_std,prec_std,rec_std,jac_std
1,869958.0,1441.0,0.40292185118514107,0.8825456033684556,0.44079237343860156,0.8458359197776059,0.7765580234010423,0.2962279277782543,0.7045770599439588,0.26808085341084925,0.17849547869325927,0.0784492158485348,0.25079854845841737,0.07054244825716167,0.1066837227313783,0.15369896272185665,0.2495963015728761,0.14268701508072915
3,682617.0,1477.0,0.43842907432192263,0.8851174569511163,0.5175044175868364,0.8302976158217459,0.785574004941482,0.32626351192371206,0.7419922017793551,0.29688246645896116,0.17381936018942526,0.08942450654995458,0.24503494778825458,0.1024606507746293,0.10879155746960505,0.15441600838797626,0.23638668319423625,0.1470150534660934
2,1512123.0,3180.0,0.4830029849256875,0.8956358046060533,0.5806970593854245,0.8637686203803592,0.8118742927048844,0.3692701039798187,0.757587710867617,0.34532539372736043,0.21678336126377673,0.12173436217228685,0.30485759672414076,0.07685227993094021,0.138752867316962,0.19227067822287275,0.2719087328111045,0.1913465615975186
5,88433.0,145.0,0.3529854209829753,0.8472788624472951,0.3744641546077972,0.8080020320371915,0.7372930570396945,0.2516160361475022,0.6687157171416303,0.22747707682848287,0.17110603671138977,0.08745197318931994,0.23189051495680216,0.10333042940203228,0.11612456865994952,0.13173277143373577,0.29198598511955776,0.1286075127227663
6,117588.0,191.0,0.3758438206721074,0.8713881940791219,0.4020271005561422,0.8420139983862154,0.7637410253469771,0.2682712238991289,0.679689478257445,0.24091055729097244,0.14377977322774177,0.08142339230238958,0.2039791227467428,0.06505639680189618,0.09786779657950581,0.11717780414911329,0.228635329595396,0.10867543179204292
-,450960.0,1155.0,0.41008801963234953,0.8326799380662253,0.45234275038963073,0.7941094055729634,0.7364367904119546,0.3092578877533692,0.6819080074352211,0.27809916148652963,0.19712212302242715,0.11753509603292878,0.2641654585365401,0.11739824581256258,0.12462295713097006,0.17237071448714822,0.2796922375644715,0.1650799792606947
4,189400.0,343.0,0.38850153871823384,0.8690895050775519,0.4120616883942724,0.8322843930668462,0.7737690349622167,0.27541996787035083,0.7112361409729648,0.25129869830159535,0.14626359030317074,0.07529115077971593,0.2111005137621693,0.06821882601878415,0.09758363484635786,0.12012098720802679,0.21643043686357585,0.11372137268123687
7,19659.0,26.0,0.29298199709832307,0.8021687875936659,0.30705711299137484,0.846150730422159,0.6821061748485799,0.21069955032542584,0.5088844614200329,0.18847060777285624,0.20111877927402616,0.11554987097116784,0.2569023576455825,0.0805195729146836,0.13304725217861132,0.15632213388758995,0.3290716444588275,0.15001969805778234
1.1,254693.0,427.0,0.440803969797169,0.8912571353326268,0.46646814782246715,0.8630023950100962,0.7920192467936926,0.3346982701450403,0.7147860360528717,0.30078435287872674,0.1839978709649373,0.07289062449408949,0.2629448586700547,0.05179190081539976,0.10152845947876854,0.16626095839624838,0.22445294480750952,0.154811845050217
3.6,142171.0,325.0,0.4535089122167344,0.8842259519249143,0.562207084568301,0.8025809839964666,0.7853310457110584,0.3292678361740791,0.7799927546180336,0.31001982752313684,0.1821158154153604,0.10285022468189649,0.2674851095925682,0.07901133616169106,0.1140239585437945,0.14904780976746856,0.2717501637709771,0.14405776835340278
2.2,16759.0,13.0,0.2864190726615572,0.8970658065599589,0.25927378625093367,0.9037952774871244,0.7576744368815239,0.19593796220351584,0.6027240067897381,0.17077405213381272,0.10189656330389249,0.055996413336150255,0.12484364168139539,0.039905816629085225,0.06398714522417782,0.07896789890159114,0.13072183375966698,0.0661568021299278
2.7,881396.0,2096.0,0.5376632273612644,0.9103783053011716,0.6670713940171236,0.8721970404621752,0.8384355405992633,0.4171920700899912,0.8047838701890201,0.3964606314183618,0.2171284997704504,0.13122513816369316,0.29997309948607137,0.07721269901417348,0.14025860255307596,0.1964735915001905,0.26202290908918024,0.19711561465572927
3.2,69603.0,120.0,0.3909685290164218,0.8935559202714016,0.4248324065629934,0.8785218579748016,0.7766767638384372,0.29525011724621053,0.665499563156438,0.2559865851953156,0.1643782231639139,0.06962485703869048,0.2331518358224143,0.062333622281558365,0.10065248053244251,0.1504518682803014,0.22648160554670527,0.12911894627602105
5.1,28043.0,46.0,0.4015822653467795,0.870543872067293,0.3893790073592576,0.8368299895376632,0.775429730606573,0.2951327404766822,0.7081134941640105,0.2628511641843213,0.15254146689873188,0.07002473155082266,0.218138036637511,0.05055144879364526,0.08903396824187478,0.13144077044427652,0.22205969799739503,0.12530957130878348
2.5,129399.0,228.0,0.39413138633092554,0.8905358852555949,0.4535453662697045,0.8617864696859702,0.7863113207587228,0.28456638490200775,0.7050837884570642,0.2586669638217356,0.1658405033429077,0.08424246691755773,0.23592877059082804,0.07101554695956809,0.12193959433426639,0.13750304433636404,0.2643450841857016,0.12994590429196007
5.6,24769.0,29.0,0.30291547573349265,0.843132422557113,0.3234749787360332,0.8457761832523765,0.7097547388538827,0.2215166509294766,0.5681524179447911,0.18807006819076486,0.15703340157187232,0.08633117846223932,0.21096962877991532,0.0897412484897893,0.13038772140931554,0.0999874856864804,0.33863793265164627,0.10757633887962663
2.3,101666.0,206.0,0.3825970285298163,0.8335090702224414,0.40979397806928114,0.8003904364695438,0.7216081526839707,0.2859490016673805,0.638064884504011,0.24899586591568895,0.1632128339164903,0.08844307726213517,0.2236370367165379,0.09652715650562908,0.1031560091868373,0.13699240748993996,0.2553260642683747,0.12488038234172485
6.1,32576.0,56.0,0.41545594408442554,0.8812226422888345,0.43480090132585286,0.8497700995685465,0.760811135468275,0.3128269235442406,0.6643249389605158,0.27113899074099274,0.1334975147835593,0.059286258041628466,0.2067167025556895,0.08377643780014499,0.08507416500329769,0.11595521210475403,0.20914488178662416,0.10907059940375242
4.2,117639.0,239.0,0.4135861151074607,0.8772023386190441,0.4512046564516399,0.8293235105258083,0.7852269462497069,0.2937838403217402,0.7388656622865509,0.2706387750975428,0.14245283412174586,0.06524518075029259,0.20155024028577076,0.06084781406635633,0.09298277190004083,0.11727353678458778,0.21058091419626784,0.11204745186720873
1.3,98647.0,162.0,0.38732869924156654,0.8811046548649476,0.41311066662646917,0.8379801478395068,0.7727732349248204,0.2795020381251016,0.7037708820641391,0.25356584529463,0.16536409794630713,0.06366524226480064,0.23228715385614399,0.060894446853620735,0.10197049926147066,0.14173263169581576,0.2468701853562929,0.13258330841537766
2.4,175973.0,273.0,0.34172607103907093,0.8528302135418386,0.36503655877078706,0.8684269139407157,0.7402465464092274,0.2549699370364437,0.5993996944652217,0.2212054535646825,0.18659039291586885,0.11062540391422164,0.23400385418923475,0.054878825617590776,0.13433256151102269,0.15537944342252838,0.2954796059541975,0.13578184434215243
3.1,140940.0,308.0,0.39998305930061523,0.8724747654831656,0.4798729175724382,0.8102139596031018,0.7562924759202561,0.2960344651510972,0.7059117802377863,0.26954842130928836,0.1924468049960101,0.10194718705299027,0.26386538654357744,0.14877923094766926,0.13034920275498643,0.16721241844444507,0.27598137992571725,0.1661533430882753
1.5,87250.0,230.0,0.46880907020360546,0.885911156367678,0.5569198591770658,0.7858114002370826,0.7850605760962018,0.3428728471689809,0.8008834970448537,0.32149330914861257,0.1714972646931965,0.06731593767247356,0.25947345268449007,0.07952707990097493,0.08906734775162081,0.14361980770950125,0.2344121611891868,0.13824470337848097
1.14,156371.0,269.0,0.3843617149742096,0.8984894032795481,0.4456095697358574,0.8763267659822519,0.7878168895714578,0.2787666792752312,0.6899245174839033,0.24836520673134682,0.14984583884614205,0.06617235425124358,0.21779260358160507,0.04760705826574535,0.1074994276808779,0.12830429095102178,0.23857632413993285,0.11427706094713064
4.4,10738.0,20.0,0.2862333578546056,0.7939077207787255,0.2772493386511639,0.8106492486294377,0.7125598950965556,0.1916217368858546,0.6020754998054878,0.17536565545515548,0.14402886500842765,0.12683174390325433,0.2350783361668623,0.05063820903209931,0.1349115490802418,0.1016789120937203,0.26770549652231146,0.10502488325560295
3.4,253361.0,577.0,0.46969956810787455,0.8908429830722084,0.5463968580191509,0.8418577505918479,0.8015272121208538,0.3566261177800315,0.7585918752856844,0.3211264090819783,0.1561339044746833,0.07737175719219945,0.21530352047000603,0.09198756037889497,0.09244010038158343,0.15012840685151815,0.1846591267171032,0.1413624106983267
6.3,67808.0,108.0,0.3547243043311646,0.8612986251026221,0.3769923986286945,0.8330367191332788,0.7541569371011674,0.24692361270444346,0.6703965833566207,0.2250009620814753,0.1467451815449206,0.07905245203186152,0.20209621568015182,0.056591308401599705,0.10070892929674038,0.11307488345268621,0.2416910031959407,0.10695396728265592
5.3,12966.0,33.0,0.34308342710814665,0.8255129125634522,0.38558447994591794,0.7742848996622311,0.7291678417123854,0.23530331526079867,0.691641421396851,0.22229390755456782,0.18805564272690814,0.1122040907219846,0.2516052365899903,0.09638496399041478,0.13444589318951541,0.14208004750504802,0.3144534747066201,0.13940344301164082
3.5,51614.0,110.0,0.41392012047382787,0.887373320851165,0.4841070945547501,0.8434584733670514,0.7951332108702097,0.3009686151142484,0.7430243540901167,0.27427187826946925,0.16605930805225946,0.09486326165333554,0.23338004354276437,0.06478105887482608,0.10713795347321814,0.14129796351224072,0.2423718801048396,0.12900450285712714
2.1,132390.0,269.0,0.4020077429981638,0.8667441527706216,0.4416191058180699,0.8422823651467363,0.7642241517539207,0.2982653246386783,0.6793433611489204,0.26760571141290457,0.18081162674665718,0.08954758966940007,0.25666421606469547,0.061777153842416554,0.11303226253098217,0.1539429011431092,0.2560613937730037,0.14347188840997105
7.1,5515.0,12.0,0.391193664920549,0.8514878559505258,0.4191340870049814,0.7975278182045963,0.7446581364042565,0.27810523143729526,0.6915000017893708,0.2537798936911819,0.15772269681725384,0.06178279529419619,0.213810682558548,0.07102418646532146,0.10172560232970934,0.12351856775480277,0.2688323300105911,0.11898357158541822
5.5,6003.0,12.0,0.33184752482426405,0.8215679238275383,0.3303577384616893,0.7513807730501455,0.7231780211735858,0.2282001189023047,0.6953571724285644,0.20919153277491245,0.15340788547534273,0.07298861709040073,0.2180465994816195,0.08420022651323177,0.07571643629146936,0.12609300096949622,0.1652639784511463,0.12190805208830906
1.2,91571.0,84.0,0.3665946030932735,0.8953462035463547,0.3419270752198046,0.8919151587094221,0.7678005158084443,0.2702815125069981,0.6343569076799331,0.23772638874975183,0.1667276826667938,0.04164860593099036,0.22269899100699966,0.03967154176303322,0.08792138964814873,0.1436766275563451,0.20206095601037152,0.13247206805619552
3.7,3042.0,7.0,0.38411539578338694,0.9034605395591798,0.5077000621457707,0.7924306233448214,0.8225344992830589,0.25389549043377874,0.8612727422347238,0.2469739354058187,0.1514646235864996,0.07274124741200357,0.24446360391040145,0.027259743977751015,0.09175822973741111,0.11803640209152254,0.20415249081458264,0.11556185071968669
1.13,20379.0,39.0,0.25991152346326374,0.794543932028275,0.2654995190050505,0.8257509907214217,0.6821243600050236,0.18457617005104732,0.526765813272885,0.16038529957445638,0.1688004804605754,0.12572425397419063,0.19959666445435048,0.09024099879712166,0.13816889752102518,0.13238187556221825,0.321353346493753,0.11768633626659286
1.18,10225.0,23.0,0.432456983712956,0.865420332819978,0.44536724618689993,0.7974171166255524,0.7825865919642222,0.3083711909408636,0.7684973616604382,0.2827127959246494,0.11793198220677197,0.04564000600205041,0.17794334666910064,0.0483460197915007,0.061455244609701365,0.10864259394150791,0.1455938892733009,0.09555728536044057
7.2,9418.0,9.0,0.12493782882429964,0.7085950273461536,0.11701971821480352,0.8852066913291644,0.567448900622106,0.08671542558440654,0.22755178502683038,0.07027581783674518,0.1138559424086728,0.12929436443769987,0.10736676418715599,0.07307727635320488,0.09399602852810213,0.07824559324566069,0.21018697578343695,0.0676189629319921
