reign,f1,auc,ap,acc,bacc,prec,rec,jac,n
Eukaryota,0.4523716677590913,0.9016215514028949,0.5444159677044126,0.8741856516478537,0.8145137159204495,0.3247630081216067,0.7451703943636948,0.2922999394202572,2098457.0
Bacteria,0.3888015872319132,0.8842975891705921,0.4229437894911611,0.8682728993641733,0.7872431621180569,0.2698776385706625,0.6951062560818658,0.2413120470767722,1057049.0
-,0.3078096925841148,0.8629648017767402,0.3147202294270965,0.8637953079292509,0.7663826566275826,0.20078992999807335,0.6591124696953726,0.18190016290435188,412952.0
Archaea,0.38244068759767014,0.8799976727222993,0.40803526290789993,0.8800430487333738,0.773356919231919,0.2704078216031608,0.6529754204398448,0.23643070437379238,108714.0
Viruses,0.5646674270927322,0.9288166645918363,0.7468226259468534,0.8991544607715546,0.8561039026137265,0.43493312352478364,0.8046969770488621,0.3934052900011861,253566.0
