logits,labels,entries
-2.6946123,0.0,266
-1.7673992,0.0,3655
-3.223386,0.0,2550
-3.105567,0.0,4844
2.2553802,0.0,11054
-1.5431764,0.0,1794
-4.125911,0.0,1351
-4.095708,0.0,3742
-4.502619,0.0,4211
0.40722013,0.0,16535
0.7825593,0.0,10797
-2.046759,0.0,6145
-1.2568274,0.0,14451
-2.3487763,0.0,5821
0.6070538,0.0,960
-2.0981393,0.0,2498
-2.691805,0.0,2949
-4.8903065,0.0,5860
-0.33149374,1.0,12532
-0.7977614,0.0,10932
-3.381997,0.0,9396
-3.8406618,0.0,1996
-2.5588145,0.0,2955
-0.7481192,0.0,1524
-4.4382644,0.0,10055
-2.8878016,0.0,13515
-3.6775045,0.0,1225
-2.7963238,0.0,12406
-3.054437,0.0,2682
-4.750623,0.0,3325
-2.494366,0.0,5716
2.9254093,1.0,51
-5.2506275,1.0,15146
-5.381192,0.0,10025
-2.182126,0.0,11519
-3.2361941,0.0,2609
0.046429493,0.0,2941
-1.9584577,0.0,2850
-3.0536435,0.0,3488
-1.3397462,0.0,4492
-5.5064917,0.0,17493
-1.9228141,0.0,10875
-4.733206,0.0,5673
0.5649316,0.0,10260
-1.5210643,0.0,6245
1.2901016,0.0,5682
-8.219402,0.0,4283
-2.2292166,0.0,9574
-3.561615,0.0,15147
-4.8454456,0.0,546
-2.4754333,0.0,9882
-2.8921967,0.0,6016
-0.74413925,0.0,9849
-2.6080997,0.0,911
1.1418555,1.0,10183
-0.70939946,0.0,3899
-7.113282,0.0,1107
-4.942941,0.0,9061
-3.6696713,0.0,4371
-1.3921552,0.0,6787
1.1300313,0.0,4251
-4.700054,0.0,3487
-4.7944756,0.0,5909
-2.194339,0.0,1325
-0.47010738,0.0,5505
-5.8733788,0.0,3308
-2.783998,0.0,2236
-1.8855277,0.0,15449
-2.0303137,0.0,10888
-3.1963422,0.0,4213
-3.8182323,0.0,10202
-2.2253437,0.0,10467
-0.90833634,0.0,4156
-6.459655,0.0,6540
-4.9944115,0.0,14876
-5.132976,0.0,24
3.7209303,1.0,6145
-0.7874572,0.0,17077
-2.279047,0.0,2480
-0.9728312,0.0,6076
-3.4830322,0.0,15146
-3.5016828,0.0,8465
-1.4068793,0.0,10921
-6.579577,0.0,12685
-1.5969644,0.0,1685
-1.6892291,0.0,1156
-1.2453831,0.0,1397
-5.4904413,0.0,500
-3.6238036,0.0,6758
-4.0462413,0.0,1928
-4.4608116,0.0,12435
-2.885927,0.0,255
-5.987087,0.0,2549
-2.2399247,0.0,2951
-4.345384,0.0,2550
-4.239257,0.0,3616
0.17173573,0.0,15513
-1.7438431,0.0,11054
0.19331,1.0,11519
-1.7053682,0.0,1107
-2.4897249,0.0,5425
0.2600209,0.0,6245
0.4208609,0.0,14956
-3.2092488,0.0,1723
-0.9641723,0.0,3097
-4.494617,0.0,10467
-5.4832983,0.0,4288
-4.9977894,0.0,14685
1.7334232,0.0,8718
-2.7843828,0.0,2806
-1.4478197,0.0,7735
-1.8488603,0.0,3098
-0.06286568,0.0,15246
-2.125523,0.0,4587
-2.3354998,0.0,7817
-0.86913055,0.0,12531
-1.5372295,0.0,15167
-3.5834675,0.0,14685
-2.6855435,0.0,6313
-1.6678373,0.0,15167
-2.8874707,0.0,15165
-4.122351,0.0,15507
0.099591024,1.0,10663
-4.9644194,0.0,859
-4.57265,0.0,15434
-2.0158892,0.0,3021
-1.9552715,0.0,15409
-3.2227116,0.0,3036
0.31797636,1.0,5674
1.4009619,0.0,1684
-7.0462065,0.0,4668
1.7097143,1.0,3693
-2.0193768,0.0,6991
