logits,labels,entries
-1.8015387,0.0,2505
-3.504916,0.0,8997
-1.0000585,0.0,2571
0.99466735,0.0,14174
-3.0958133,0.0,5391
-3.4290335,0.0,2437
-5.146198,0.0,1394
-3.4135075,0.0,5145
-0.58714515,0.0,6692
-2.7039678,0.0,12463
-0.2539066,0.0,4953
-3.240277,0.0,11094
-3.059223,0.0,6877
-0.34790257,0.0,6151
-0.8225102,0.0,8590
-4.752124,0.0,12241
-2.6824563,0.0,5101
2.3641312,1.0,1141
-0.82962507,0.0,12603
-3.2291625,0.0,4430
-3.3145552,0.0,10272
2.7643664,0.0,4005
-0.833706,0.0,2275
1.7287959,1.0,9600
-0.6604789,0.0,10903
-0.3855147,0.0,1458
-1.7217368,0.0,12158
-3.9732013,0.0,3451
-0.8911586,0.0,3263
-3.5543556,0.0,15465
-2.4376779,0.0,16238
5.0320992,1.0,11101
-1.2158765,0.0,3954
-2.455505,0.0,5074
-2.986608,0.0,3954
-0.4176247,0.0,4370
-3.7952304,0.0,2437
-5.4292083,0.0,4438
-2.8090332,0.0,9068
-2.776461,0.0,958
-5.176773,0.0,1227
-4.0887313,0.0,1337
-3.763714,0.0,4541
-4.4490886,0.0,5697
-4.0087895,0.0,5247
-2.0154839,0.0,4278
-3.282849,0.0,6869
0.65703243,0.0,13238
-2.565531,0.0,16142
-3.0549097,0.0,150
-2.280844,0.0,12880
-5.337055,0.0,14674
1.0747229,0.0,4518
-2.3506925,0.0,13247
-2.8762255,0.0,1905
-3.8299615,0.0,9607
-2.431445,0.0,4919
-2.5425684,0.0,5257
-4.3851,0.0,5123
-0.9360894,0.0,9426
-4.4654865,0.0,257
-3.456104,0.0,4583
-1.5284652,0.0,5943
0.02343154,0.0,985
-3.0346425,0.0,5122
-3.2134442,0.0,15100
-3.3835704,0.0,10194
-2.1350696,0.0,9816
-2.2739246,0.0,2109
-3.398353,0.0,3799
-1.133817,0.0,902
-4.987882,0.0,3954
-3.8707366,0.0,1905
-0.54473996,0.0,9444
-0.124188066,0.0,3558
-2.2467005,0.0,13440
-1.3730779,0.0,5528
-4.3971276,0.0,4951
-2.3705578,0.0,2760
-1.4134072,0.0,6487
-1.2499989,0.0,916
-1.1744663,1.0,5648
-1.5099251,0.0,12679
2.2712343,0.0,4295
-3.009022,0.0,5081
-3.8726838,0.0,2760
-1.7427704,0.0,2482
-1.5821166,0.0,3537
-1.4022014,0.0,5114
-1.1070689,0.0,3874
4.9702744,1.0,11217
-1.1665685,0.0,4509
-2.506516,0.0,11371
-2.5740783,0.0,7121
1.4631954,0.0,11298
-5.683232,0.0,5123
-1.2400094,0.0,2380
-1.9488121,0.0,4667
-1.1433948,0.0,12151
-3.6232402,0.0,12154
0.5569659,0.0,1554
-1.1002498,1.0,2380
0.6544004,0.0,10307
-2.4734952,0.0,6869
-3.6004078,0.0,6039
1.7039673,1.0,12163
-1.182879,0.0,4349
-0.65938693,0.0,12875
-4.316626,0.0,5143
-2.2458916,0.0,14568
-1.6681114,0.0,5069
-3.0173686,0.0,7728
-3.848768,0.0,1641
-4.352375,0.0,13685
-1.2966722,0.0,5123
-1.6710554,0.0,1651
-3.1854832,0.0,6941
-1.3146517,0.0,15228
-1.0761896,0.0,12653
-2.463486,0.0,11360
2.4554505,1.0,8905
-4.5999656,0.0,569
-3.8079526,0.0,6731
-0.6964461,0.0,11172
0.5663945,0.0,14947
0.024316892,0.0,9719
-3.693177,0.0,23
-5.7230735,0.0,567
-0.2887573,0.0,339
-0.49426132,0.0,4667
-3.3178303,0.0,3653
0.8756791,0.0,9071
-2.5932724,0.0,685
-4.2539167,0.0,6505
-2.7101905,0.0,8237
0.002707325,0.0,1194
-1.625062,0.0,11733
-2.2590082,0.0,15695
-2.2214913,0.0,11310
-3.6902297,1.0,12515
0.3866703,1.0,5969
-2.6759703,0.0,1020
-0.37458658,0.0,6749
-2.2449787,0.0,14390
0.6088334,0.0,2537
0.1936673,0.0,11147
1.0122236,0.0,11310
-3.1950104,0.0,7145
-1.7486655,0.0,3984
-1.5778655,0.0,5094
-1.6412336,0.0,1746
-3.3808408,0.0,8680
1.3788477,0.0,11329
-2.4526465,0.0,6897
-1.2068654,0.0,14258
-4.8091397,0.0,6688
2.2936137,1.0,10306
-0.16385913,0.0,17571
-2.7389123,0.0,17141
-2.772938,0.0,2760
0.18404543,0.0,16407
0.14379686,0.0,13200
1.8097385,1.0,2130
0.5097447,1.0,2353
-4.182117,0.0,11592
-1.8027467,0.0,5106
-5.319657,0.0,15751
-2.3405883,0.0,11248
-3.770506,0.0,4595
-1.0064899,0.0,8065
-1.8466133,0.0,11763
-0.8354638,0.0,2259
-0.20439306,1.0,6363
-1.7247751,0.0,14335
-3.356469,0.0,125
-2.6215417,0.0,10308
-0.88044065,0.0,6068
-2.941041,0.0,958
-3.294027,0.0,7215
-2.6333127,0.0,12097
