logits,labels,entries
-7.5035367,0.0,12249
-1.9075631,0.0,13489
-3.6302307,0.0,3218
-3.386874,0.0,15342
-5.3897743,0.0,10143
-2.164654,0.0,5175
-0.0047930814,0.0,711
-1.7473332,0.0,1062
-2.1844215,0.0,5993
-3.3655674,0.0,850
-1.8471317,0.0,3037
1.1158602,0.0,15111
-2.3777816,0.0,3724
1.1079478,1.0,16894
-3.619568,0.0,7306
-1.0699646,1.0,1774
-1.8286976,0.0,5624
-1.7163484,0.0,6983
-1.1037029,0.0,1285
-4.24238,0.0,1062
-3.295858,0.0,1096
-4.346607,0.0,10978
-0.8429453,0.0,3305
-0.38293353,0.0,14575
-1.8941308,0.0,3763
-3.7352796,0.0,2954
-2.4165947,0.0,13004
-0.5474777,0.0,571
-2.200863,0.0,12004
-1.2532578,0.0,10910
-2.4372096,0.0,2993
-3.1365998,0.0,15508
-2.0811815,0.0,2164
-3.8394504,0.0,13929
-4.6415234,0.0,3217
-1.1850668,0.0,2991
-0.7690279,0.0,5309
-2.4787111,0.0,4997
-1.576689,0.0,6391
-3.0742836,0.0,3395
-0.26116237,1.0,4480
-2.696363,0.0,2160
-1.7800324,0.0,5298
-2.7212138,1.0,5483
-0.30738708,0.0,136
-2.5601819,0.0,441
-0.454247,0.0,4417
-3.885387,0.0,11552
-0.18211648,0.0,17535
-1.7138712,0.0,14912
-2.9176228,0.0,4475
-2.0277247,0.0,5058
-3.235061,0.0,6987
-3.527664,0.0,7119
-2.8059695,0.0,6329
-0.73479205,0.0,4797
0.69441694,0.0,13040
-3.6475408,0.0,1285
-3.9918664,0.0,12249
-4.5771008,0.0,2303
-6.180151,0.0,16267
-3.0243034,1.0,379
-4.0476604,0.0,571
0.7008423,1.0,14418
-1.6184852,0.0,2452
-2.1545067,0.0,5484
-2.3286374,0.0,13571
-3.1409025,0.0,5484
-0.6111738,0.0,4224
-3.1344445,0.0,1373
-3.6889555,0.0,1567
-3.297511,0.0,5861
1.3024647,1.0,8177
-2.362666,0.0,10230
-2.7657516,0.0,6654
-1.0523822,0.0,4381
-0.58666617,0.0,3166
-4.379568,0.0,3127
-2.442287,0.0,10801
-4.2899323,0.0,1713
-2.3707669,0.0,9048
0.5318718,0.0,12160
0.86949724,1.0,12687
-4.5615807,0.0,11523
-3.3733335,0.0,3820
-4.0968304,0.0,10331
2.6237118,1.0,13859
-6.6879196,0.0,5808
-1.4051456,1.0,10799
-0.88035315,0.0,5175
0.90988225,0.0,14232
-5.3358607,0.0,4480
-5.9859643,0.0,2466
-4.1379614,0.0,1062
-4.6831465,0.0,7296
-2.6729536,0.0,3218
-5.6284246,0.0,4894
-0.7796747,0.0,10230
-0.878226,0.0,2143
-2.9310806,0.0,1567
-4.357045,0.0,8369
-0.5162437,0.0,8685
-1.1980765,0.0,15036
-1.2823939,0.0,16989
-5.9199543,0.0,2603
-0.90508693,0.0,3165
-1.4491744,0.0,2356
-3.4404836,0.0,7228
-1.6380255,0.0,3127
-3.7736664,0.0,4908
-3.1338983,0.0,5279
-3.1832817,0.0,14740
-0.12981465,0.0,65
-1.1702414,0.0,2517
-0.98880404,0.0,2779
-1.7710092,0.0,404
0.18946782,0.0,3844
-4.9698467,0.0,3037
-1.640415,0.0,6818
-1.7615142,0.0,6432
-4.27468,0.0,3549
-1.917769,0.0,10753
-3.8782732,0.0,4009
-4.8049703,0.0,1598
-4.8017473,0.0,15031
-4.226078,0.0,14393
-1.8697844,0.0,2413
-2.2793312,0.0,7033
-0.04517853,0.0,677
-2.0867887,0.0,1677
-2.2659805,0.0,598
-1.495436,0.0,2983
-2.5315905,0.0,739
-1.9316027,0.0,10358
-0.5847871,1.0,1990
-0.95636255,0.0,9825
-4.449281,0.0,10538
-2.1630914,0.0,705
-3.7767622,0.0,11759
-2.4316924,0.0,3944
1.3680097,0.0,8779
-1.8336656,0.0,3384
-3.605199,0.0,2676
-1.0415279,0.0,2289
1.4530594,0.0,9863
-1.4032413,0.0,1062
-2.8228657,0.0,16107
-3.5345514,0.0,13627
-3.9264512,0.0,7228
0.28819337,0.0,5111
-3.2198079,0.0,7016
-3.3206327,0.0,614
-2.5713208,0.0,6945
-1.3583539,0.0,3219
-4.158069,0.0,17443
-2.1638296,0.0,2180
-1.7800651,0.0,6040
-5.2246246,0.0,3055
1.8154027,1.0,15031
-5.0659447,0.0,1062
-3.1995687,0.0,8605
-4.942379,0.0,1455
-4.459961,0.0,4287
-3.0314252,0.0,12051
0.96160847,1.0,14984
-2.433737,0.0,10755
2.8045423,0.0,15015
-2.664251,1.0,8071
-3.34871,0.0,2231
-2.5746694,1.0,7306
-4.3832774,0.0,8000
-2.685862,0.0,13507
-4.9281073,0.0,3820
-2.8194945,0.0,2517
0.6577957,1.0,5635
-5.0765953,0.0,7788
-1.8736179,0.0,17405
0.47116682,0.0,14959
