,N epoch,device,progress,patience,epochs,verbose,geometric_dim,encoder_hidden_dim,encoder_depth,dropout,batch_norm,dense_activation,gnn_activation,gnn_depth,dense_depth,dense_dim,gnn_hidden_dim,model_seed,total_params,reduction,total_samples,use_folds,train_samples,train_folds,valid_samples,valid_folds,test_samples,test_folds,optimizer,lr,scheduler,scheduler_gamma,scheduler_step,loss_fn,pos_weight,loss_reduction,train_batch_size,train_shuffle,train_num_workers,valid_batch_size,valid_shuffle,valid_num_workers,test_batch_size,test_shuffle,test_num_workers,train_cumulated_loss,train_mean_loss,cumulated_loss,mean_loss,average_precision,roc_auc,tp,fp,fn,tn,f1,accuracy,balanced_accuracy,recall,precision,jaccard,At epoch
10,11,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,7054.5815,0.5777708292007446,1954.0005,0.6211063,0.5293115797984989,0.9010639212997968,38117,84739,14248,668125,0.4350734215647668,0.8770697528280775,0.8076771710712409,0.7279098634584169,0.3102575372794166,0.2780152293149726,
11,12,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,6999.318,0.5732446908950806,1958.7573,0.6226184,0.5254301023308717,0.9008983491913383,37955,82396,14410,670468,0.43950763102434054,0.8797782990925562,0.8076863942868333,0.7248161940227251,0.3153692117223787,0.28164676723978005,
12,13,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,6938.806,0.5682888031005859,1934.0867,0.61477643,0.5280574889620465,0.9022579628181522,39277,92608,13088,660256,0.4263446404341927,0.8687379614991512,0.8135272280380571,0.7500620643559629,0.2978124881525572,0.27092631041642234,
13,14,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,6903.595,0.565405011177063,1946.6207,0.6187606,0.5324619915206832,0.9024339143242203,38109,83138,14256,669726,0.43901343225122685,0.8790480720391342,0.8086640572195817,0.7277570896591234,0.31430880764060143,0.28124100573419036,
14,15,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,6871.946,0.5628129243850708,1942.7213,0.6175211,0.5344186711131707,0.902811297045384,38331,84028,14034,668836,0.4387605595110002,0.8782184943661989,0.8101927174744664,0.731996562589516,0.31326669881251074,0.2810334841230855,
15,16,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,6845.0796,0.5606125593185425,1944.2683,0.6180128,0.5337306488235237,0.9024837447900558,37980,81804,14385,671060,0.441245665092449,0.8805445407455519,0.8083182686476724,0.725293612145517,0.3170707273091565,0.28307582228383604,
16,17,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,6828.914,0.5592886209487915,2073.2583,0.6590141,0.5300559023318073,0.901640782579294,34392,59401,17973,693463,0.4706139930759863,0.9039105645723142,0.7889372613916394,0.6567745631624177,0.36667981619097373,0.30771433172879054,
17,18,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,6809.146,0.5576696395874023,1919.2865,0.610072,0.5337974145257608,0.903219740632839,39791,96578,12574,656286,0.42166223361980354,0.8644460147361807,0.8157984879640248,0.7598777809605652,0.29178918962520806,0.2671558918512451,
18,19,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,6796.1235,0.5566030740737915,1941.0142,0.6169784,0.5351452831046416,0.9031278801059445,38537,84735,13828,668129,0.43882553220562864,0.8775963111114975,0.811690139824987,0.7359304879213215,0.3126176260626906,0.2810867979576951,
19,20,cuda,True,5,20,1,5,16,1,0.2,True,leakyrelu,leakyrelu,3,3,256,256,42,1407172,1,3930738,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3125509,"[0, 1, 2, 3, 4, 5, 6, 7]",805229,"[8, 9]",805229,"[8, 9]",<class 'torch.optim.adam.Adam'>,0.0001,<class 'torch.optim.lr_scheduler.StepLR'>,0.8,1,<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>,"tensor(10., device='cuda:0')",mean,256,True,0,256,True,0,256,True,0,6790.617,0.5561521053314209,1939.5922,0.6165264,0.5339719600193559,0.9028551473556201,38621,86165,13744,666699,0.43602350537112405,0.8759247369381877,0.8115424955513385,0.7375346128139024,0.30949786033689675,0.27879159748790877,
